RT_ID,SN_B,STOP_CD_B,SN_E,STOP_CD_E,DIST,LMT_SPD
12OMA,1,ESTAMAJ,2,MERMACA,558,60
12OMA,2,MERMACA,3,C12CH3A,188,40
12OMA,3,C12CH3A,4,CAHCH4A,199,30
12OMA,4,CAHCH4A,5,EJMCH3A,250,30
12OMA,5,EJMCH3A,6,PAQSANA,227,30
12OMA,6,PAQSANA,7,SAEDESA,229,40
12OMA,7,SAEDESA,8,AVBCE3A,186,40
12OMA,8,AVBCE3A,9,MELCHCA,255,40
12OMA,9,MELCHCA,10,GIMMARA,293,40
12OMA,10,GIMMARA,11,ESTAMAJ,703,40
ACNAL-I,1,EALCDIA,2,CESAZ3A,184,30
ACNAL-I,2,CESAZ3A,3,CJGAZ3A,435,30
ACNAL-I,3,CJGAZ3A,4,BOMAZ3A,319,30
ACNAL-I,4,BOMAZ3A,5,CTAAZ3A,279,30
ACNAL-I,5,CTAAZ3A,6,IGLAZ3A,227,30
ACNAL-I,6,IGLAZ3A,7,CORAZ3A,240,30
ACNAL-I,7,CORAZ3A,8,OLAAZ3A,223,20
ACNAL-I,8,OLAAZ3A,9,LIVAZ3A,253,20
ACNAL-I,9,LIVAZ3A,10,ALTAZ3A,243,20
ACNAL-I,10,ALTAZ3A,11,GRIAZ3A,147,20
ACNAL-I,11,GRIAZ3A,12,CA7AZ3A,488,20
ACNAL-I,12,CA7AZ3A,13,C4BCB1A,402,40
ACNAL-I,13,C4BCB1A,14,MELCB1A,560,30
ACNAL-I,14,MELCB1A,15,JUDCB1A,390,40
ACNAL-I,15,JUDCB1A,16,MOCON1A,335,60
ACNAL-I,16,MOCON1A,17,ECATK4A,461,60
ACNAL-I,17,ECATK4A,18,CABTK1A,266,60
ACNAL-I,18,CABTK1A,19,FLOTK1A,494,60
ACNAL-I,19,FLOTK1A,20,EBETK1A,681,60
ACNAL-I,20,EBETK1A,21,PLCTK1A,205,60
ACNAL-I,21,PLCTK1A,22,GONTK1A,428,60
ACNAL-I,22,GONTK1A,23,LAJTK1A,701,60
ACNAL-I,23,LAJTK1A,24,PALTK1A,400,60
ACNAL-I,24,PALTK1A,25,ROCTK1A,354,60
ACNAL-I,25,ROCTK1A,26,ULATK1A,383,60
ACNAL-I,26,ULATK1A,27,ZAITK1A,291,60
ACNAL-I,27,ZAITK1A,28,CELTK1A,346,60
ACNAL-I,28,CELTK1A,29,CHITK1A,247,60
